expression,reading,meaning,tags
～名,～めい,counter for people,JLPT JLPT_2
名作,めいさく,masterpiece,JLPT JLPT_2
名所,めいしょ,famous place,JLPT JLPT_2
命ずる,めいずる,"to command, to appoint",JLPT JLPT_2
迷信,めいしん,superstition,JLPT JLPT_2
名物,めいぶつ,"famous product, special product, speciality",JLPT JLPT_2
銘々,めいめい,"each, individual",JLPT JLPT_2
恵まれる,めぐまれる,"to be blessed with, to be rich in",JLPT JLPT_2
巡る,めぐる,to go around,JLPT JLPT_2
目指す,めざす,"to aim at, to have an eye on",JLPT JLPT_2
目覚し,めざまし,alarm-clock,JLPT JLPT_2
目下,めした,"at present, now",JLPT JLPT_2
目印,めじるし,"mark, sign, landmark",JLPT JLPT_2
目立つ,めだつ,"to be conspicuous, to stand out",JLPT JLPT_2
めちゃくちゃ,めちゃくちゃ,"absurd, messed up, wrecked",JLPT JLPT_2
めっきり,めっきり,remarkably,JLPT JLPT_2
めでたい,めでたい,"happy, propitious, joyous",JLPT JLPT_2
メニュー,メニュー,menu,JLPT Intermediate_Japanese JLPT_2 Intermediate_Japanese_Ln.6 Genki_Ln.2 Genki
めまい,めまい,"dizziness, giddiness",JLPT JLPT_2
目安,めやす,"criterion, aim",JLPT JLPT_2
免税,めんぜい,tax exemption,JLPT JLPT_2
面積,めんせき,area,JLPT JLPT_2
面倒臭い,めんどうくさい,"bother to do, tiresome",JLPT JLPT_2
儲かる,もうかる,"to be profitable, to yield a profit",JLPT JLPT_2
儲ける,もうける,"to earn, to have (bear, beget) a child",JLPT JLPT_2
申し訳ない,もうしわけない,"inexcusable, I am sorry",JLPT JLPT_2
モーター,モーター,motor,JLPT JLPT_2
木材,もくざい,"lumber, timber, wood",JLPT JLPT_2
目次,もくじ,table of contents,JLPT JLPT_2
潜る,もぐる,"to drive, to pass through; to evade, to hide",JLPT JLPT_2
もしかしたら,もしかしたら,"perhaps, maybe, by some chance",JLPT JLPT_2
もたれる,もたれる,"to lean against, to lean on",JLPT JLPT_2
モダン,モダン,modern,JLPT JLPT_2
餅,もち,sticky rice cake,JLPT JLPT_2
～もち,～もち,person who has ~,JLPT JLPT_2
モデル,モデル,a fashion model,JLPT JLPT_2 Intermediate_Japanese_Ln.8 Intermediate_Japanese
元々,もともと,"originally, by nature, from the start",JLPT JLPT_2
物置,ものおき,storage room,JLPT JLPT_2
物語る,ものがたる,"to tell, to indicate",JLPT JLPT_2
物差し,ものさし,"ruler, measure",JLPT JLPT_2
物凄い,ものすごい,"earth-shattering, staggering, to a very great extent",JLPT JLPT_2
モノレール,モノレール,monorail,JLPT JLPT_2
紅葉,もみじ,(Japanese) maple,JLPT JLPT_2
揉む,もむ,"to rub, to crumple (up), to wrinkle",JLPT JLPT_2
催し,もよおし,"event, festivities, function",JLPT JLPT_2
盛る,もる,to serve (food); to fill up; to prescribe,JLPT JLPT_2
～問,～もん,counter for questions,JLPT JLPT_2
問答,もんどう,"questions and answers, dialogue",JLPT JLPT_2
～夜,～や,counter for nights,JLPT JLPT_2
やかましい,やかましい,"to be fussy, to be overly critical",JLPT JLPT_2 Intermediate_Japanese Intermediate_Japanese_Ln.11
夜間,やかん,"at night, nighttime",JLPT JLPT_2
やかん,やかん,kettle,JLPT JLPT_2
役者,やくしゃ,actor,JLPT JLPT_2
役所,やくしょ,"government office, public office",JLPT JLPT_2
役人,やくにん,government official,JLPT JLPT_2
薬品,やくひん,"medicine(s), chemical(s)",JLPT JLPT_2
役目,やくめ,"duty, business",JLPT JLPT_2
火傷,やけど,"burn, scald",JLPT JLPT_2
夜行,やこう,"night train, night travel",JLPT JLPT_2
矢印,やじるし,directing arrow,JLPT JLPT_2
やたらに,やたらに,"randomly, recklessly, blindly",JLPT JLPT_2
薬局,やっきょく,"pharmacy, drugstore",JLPT JLPT_2
やっつける,やっつける,"to attack (an enemy), to beat, to finish off",JLPT JLPT_2
家主,やぬし,landlord,JLPT JLPT_2
やっぱり,やっぱり,"after all, anyway",Genki_Ln.17 JLPT JLPT_2 Genki
破く,やぶく,to tear,JLPT JLPT_2
やむをえない,やむをえない,"cannot be helped, unavoidable",JLPT JLPT_2
軟らかい,やわらかい,"soft, tender, limp",JLPT JLPT_2
遊園地,ゆうえんち,amusement park,JLPT JLPT_2
夕刊,ゆうかん,evening paper,JLPT JLPT_2
郵送,ゆうそう,mailing,JLPT JLPT_2
夕立,ゆうだち,(sudden) evening shower (rain),JLPT JLPT_2
夕日,ゆうひ,"(in) the evening sun, setting sun",JLPT JLPT_2
悠々,ゆうゆう,"quiet, calm, leisurely",JLPT JLPT_2
有料,ゆうりょう,"admission-paid, toll",JLPT JLPT_2
浴衣,ゆかた,"bathrobe, informal summer kimono",JLPT JLPT_2 Intermediate_Japanese_Ln.10 Intermediate_Japanese
行方,ゆくえ,one's whereabouts,JLPT JLPT_2
湯気,ゆげ,steam,JLPT JLPT_2
輸血,ゆけつ,blood transfusion,JLPT JLPT_2
輸送,ゆそう,"transport, transportation",JLPT JLPT_2
油断,ゆだん,"negligence, unpreparedness",JLPT JLPT_2
湯飲み,ゆのみ,teacup,JLPT JLPT_2
緩い,ゆるい,"loose, lenient, slow",JLPT JLPT_2
溶岩,ようがん,lava,JLPT JLPT_2
用語,ようご,"term, terminology",JLPT JLPT_2 Intermediate_Japanese_Ln.2 Intermediate_Japanese
要旨,ようし,"gist, essentials, summary",JLPT JLPT_2
幼児,ようじ,"infant, baby, child",JLPT JLPT_2
容積,ようせき,"capacity, volume",JLPT JLPT_2
幼稚,ようち,"infancy, childish, infantile",JLPT JLPT_2
幼稚園,ようちえん,kindergarten,JLPT_2 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese
用途,ようと,"use, usefulness",JLPT JLPT_2
洋品店,ようひんてん,clothes store,JLPT JLPT_2
養分,ようぶん,"nourishment, nutrient",JLPT JLPT_2
羊毛,ようもう,wool,JLPT JLPT_2
漸く,ようやく,"at last, finally, hardly",JLPT JLPT_2
要領,ようりょう,"gist, essentials, outline",JLPT JLPT_2
翌～,よく～,next ~,JLPT JLPT_2
欲張り,よくばり,greedy,JLPT JLPT_2
余計,よけい,"too much, unnecessary, abundance, surplus, excess, superfluity",JLPT JLPT_2
よこす,よこす,"to send, to forward; to hand over (e.g., money)",JLPT JLPT_2
余所,よそ,"another place, somewhere else, strange parts",JLPT JLPT_2
四つ角,よつかど,"four corners, crossroads",JLPT JLPT_2
酔っ払い,よっぱらい,drunkard,JLPT JLPT_2
予備,よび,"preparation, spare",JLPT JLPT_2
呼び掛ける,よびかける,"to call out to, to accost, to address (crowd), to appeal",JLPT JLPT_2
呼び出す,よびだす,"to summon, to call (e.g., phone)",JLPT JLPT_2
蘇る,よみがえる,"to be resurrected, to be revived",JLPT JLPT_2
慶ぶ,よろこぶ,"to be delighted, to be glad",JLPT JLPT_2
～等,～ら,plural persons,JLPT JLPT_2
来日,らいにち,"coming to Japan, visit to Japan",JLPT JLPT_2
落第,らくだい,"failure, dropping out of a class",JLPT JLPT_2
ラッシュアワー,ラッシュアワー,rush hour,JLPT JLPT_2 Intermediate_Japanese_Ln.10 Intermediate_Japanese
欄,らん,"column of text (e.g., as in a newspaper)",JLPT JLPT_2
ランチ,ランチ,lunch,JLPT JLPT_2
ランニング,ランニング,running; tank top,JLPT JLPT_2
乱暴,らんぼう,"rude, violent, rough",JLPT JLPT_2
理科,りか,science,JLPT JLPT_2
利害,りがい,"advantages and disadvantages, interest",JLPT JLPT_2
段階,だんかい,"gradation, grade, stage",JLPT JLPT_2
短期,たんき,short term,JLPT JLPT_2
炭鉱,たんこう,"coal mine, coal pit",JLPT JLPT_2
短所,たんしょ,"defect, weak point; disadvantage",JLPT JLPT_2
たんす,たんす,chest of drawers,JLPT JLPT_2
淡水,たんすい,fresh water,JLPT JLPT_2
断水,だんすい,water outage,JLPT JLPT_2
単数,たんすう,singular (number),JLPT JLPT_2
団地,だんち,housing complex,JLPT JLPT_2
断定,だんてい,"conclusion, decision",JLPT JLPT_2
短編,たんぺん,"short (e.g., story, film)",JLPT JLPT_2
誓う,ちかう,"to swear, to vow",JLPT JLPT_2
地下水,ちかすい,underground water,JLPT JLPT_2
近々,ちかぢか,"soon, before long",JLPT JLPT_2
近付ける,ちかづける,"to bring near, to put close, to let come near",JLPT JLPT_2
近寄る,ちかよる,"to approach, to draw near",JLPT JLPT_2
力強い,ちからづよい,"powerful, strong, vigorous",JLPT JLPT_2
ちぎる,ちぎる,"to cut up fine, to pick (fruit)",JLPT JLPT_2
地質,ちしつ,geological features,JLPT JLPT_2
知人,ちじん,"friend, acquaintance",JLPT JLPT_2 Intermediate_Japanese_Ln.1 Intermediate_Japanese
地帯,ちたい,"area, zone",JLPT JLPT_2
縮む,ちぢむ,"to shrink, to be contracted",JLPT JLPT_2
縮める,ちぢめる,"to shorten, to reduce, to shrink",JLPT JLPT_2
縮れる,ちぢれる,"to be wavy, to be curled",JLPT JLPT_2
チップ,チップ,"gratuity, tip; chip",Intermediate_Japanese_Ln.6 JLPT_2 JLPT Intermediate_Japanese
地点,ちてん,"site, point on a map",JLPT JLPT_2
地名,ちめい,place name,JLPT JLPT_2
茶色い,ちゃいろい,brown,JLPT JLPT_2
～着,～ちゃく,counter for clothes; finishing place,JLPT JLPT_2
着々,ちゃくちゃく,steadily,JLPT JLPT_2
中間,ちゅうかん,"middle, midway, interim",JLPT JLPT_2
中旬,ちゅうじゅん,second third of a month,JLPT JLPT_2
抽象,ちゅうしょう,abstract,JLPT JLPT_2
中世,ちゅうせい,"Middle Ages, medieval times",JLPT JLPT_2
中性,ちゅうせい,"neuter gender, neutral",JLPT JLPT_2
中途,ちゅうと,"in the middle, half-way",JLPT JLPT_2
中年,ちゅうねん,middle-aged,JLPT JLPT_2 Intermediate_Japanese_Ln.1 Intermediate_Japanese
長～,ちょう～,long ~,JLPT JLPT_2
～庁,～ちょう,"office, agency",JLPT JLPT_2
～兆,～ちょう,trillion,JLPT JLPT_2
～長,～ちょう,"leader, head",JLPT JLPT_2
～帳,～ちょう,"~ book, notebook",JLPT JLPT_2
超過,ちょうか,"excess, being more than",JLPT JLPT_2
彫刻,ちょうこく,"carving, engraving, sculpture",JLPT JLPT_2
長所,ちょうしょ,"strong point, merit; advantage",JLPT JLPT_2
長女,ちょうじょ,eldest daughter,JLPT JLPT_2
調整,ちょうせい,"regulation, adjustment, tuning",JLPT JLPT_2
調節,ちょうせつ,"regulation, adjustment, control",JLPT JLPT_2
長短,ちょうたん,"length, long and short, +-",JLPT JLPT_2
頂点,ちょうてん,"top, summit",JLPT JLPT_2
長男,ちょうなん,eldest son,JLPT JLPT_2
長方形,ちょうほうけい,"rectangle, oblong",JLPT JLPT_2
調味料,ちょうみりょう,"condiment, seasoning",JLPT JLPT_2
～丁目,～ちょうめ,"~ district (of a town; city, block)",JLPT JLPT_2
チョーク,チョーク,chalk,JLPT JLPT_2
直後,ちょくご,immediately following,JLPT JLPT_2
直線,ちょくせん,straight line,JLPT JLPT_2
直前,ちょくぜん,just before,JLPT JLPT_2
直通,ちょくつう,direct connection,JLPT JLPT_2
直流,ちょくりゅう,direct current,JLPT JLPT_2
貯蔵,ちょぞう,"storage, preservation",JLPT JLPT_2
直角,ちょっかく,right angle,JLPT JLPT_2
直径,ちょっけい,diameter,JLPT JLPT_2
散らかす,ちらかす,"to scatter around, to leave untidy",JLPT JLPT_2
散らかる,ちらかる,to be in disorder,JLPT JLPT_2
塵紙,ちりがみ,"tissue paper, toilet paper",JLPT JLPT_2
追加,ついか,"addition, supplement, appendix",JLPT JLPT_2
ついで,ついで,"opportunity, occasion",JLPT JLPT_2
～通,～つう,counter for letters,JLPT JLPT_2
通ずる,つうずる,"to lead, to run, to open",JLPT JLPT_2
通知,つうち,"notice, notification",JLPT JLPT_2
通帳,つうちょう,bankbook,JLPT JLPT_2
通用,つうよう,"popular use, circulation",JLPT JLPT_2
通路,つうろ,"passage, pathway",JLPT JLPT_2
～遣い,～づかい,use of ~,JLPT JLPT_2
～付,～つき,with ~,JLPT JLPT_2
突き当たり,つきあたり,"end (e.g., of street)",JLPT JLPT_2
突き当たる,つきあたる,"to run into, to collide with",JLPT JLPT_2
月日,つきひ,"time, years, days",JLPT JLPT_2
～続く,～つづく,"follow, continue, go on",JLPT JLPT_2
突っ込む,つっこむ,"to plunge into, to stick into",JLPT JLPT_2
務める,つとめる,"to serve, to act",JLPT JLPT_2
努める,つとめる,"to try, to aim",JLPT JLPT_2
綱,つな,rope,JLPT JLPT_2
繋がり,つながり,"connection, link, relationship",JLPT JLPT_2
粒,つぶ,grain,JLPT JLPT_2
潰す,つぶす,"to smash, to waste",JLPT JLPT_2
潰れる,つぶれる,"to be smashed, to go bankrupt",JLPT JLPT_2
つまずく,つまずく,"to stumble, to trip",JLPT JLPT_2
詰まる,つまる,"to be blocked, to be packed",JLPT JLPT_2
爪,つめ,fingernail or toenail,JLPT JLPT_2
艶,つや,"gloss, glaze",JLPT JLPT_2
強気,つよき,"firm, strong",JLPT JLPT_2
～辛い,～づらい,hard to do ~,JLPT JLPT_2
釣り合う,つりあう,"to balance, to be in harmony, to suit",JLPT JLPT_2
吊る,つる,to hang,JLPT JLPT_2
吊す,つるす,to hang,JLPT JLPT_2
手洗い,てあらい,"restroom, lavatory",JLPT JLPT_2
低～,てい～,low ~,JLPT JLPT_2
定員,ていいん,"fixed number of regular personnel, capacity (e.g., of boat)",JLPT JLPT_2
定価,ていか,established price,JLPT JLPT_2
低下,ていか,"fall, decline",JLPT JLPT_2
定期券,ていきけん,"commuter pass, season ticket",JLPT JLPT_2
定休日,ていきゅうび,regular holiday,JLPT JLPT_2
停止,ていし,"suspension, interruption, stoppage",JLPT JLPT_2
停車,ていしゃ,"stopping (e.g., train)",JLPT JLPT_2
出入り,でいり,"in and out, coming and going",JLPT JLPT_2
出入口,でいりぐち,exit and entrance,JLPT JLPT_2
手入れ,ていれ,"repairs, maintenance",JLPT JLPT_2
テーマ,テーマ,"theme, project, topic (GER: Thema)",JLPT_2 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese
～滴,～てき,drop,JLPT JLPT_2
出来上がり,できあがり,"be finished, ready",JLPT JLPT_2
出来上がる,できあがる,"to be finished, to be ready",JLPT JLPT_2
的確,てきかく,"precise, accurate",JLPT JLPT_2
適確,てきかく,"precise, accurate",JLPT JLPT_2
手首,てくび,wrist,JLPT JLPT_2
凸凹,でこぼこ,"unevenness, roughness, ruggedness",JLPT JLPT_2
手頃,てごろ,"moderate, handy",JLPT JLPT_2
弟子,でし,"pupil, disciple, apprentice",JLPT JLPT_2
でたらめ,でたらめ,"irresponsible utterance, nonsense; random",JLPT JLPT_2
手帳,てちょう,notebook,JLPT JLPT_2
鉄橋,てっきょう,iron bridge,JLPT JLPT_2
手続き,てつづき,"procedure, (legal) process, formalities",JLPT JLPT_2
鉄砲,てっぽう,gun,JLPT JLPT_2
テニスコート,テニスコート,tennis court,JLPT JLPT_2
手拭い,てぬぐい,(hand) towel,JLPT JLPT_2
手前,てまえ,"before, this side",JLPT JLPT_2
出迎え,でむかえ,"meeting, reception",JLPT JLPT_2
照らす,てらす,"to shine on, to illuminate",JLPT JLPT_2
照る,てる,to shine,JLPT JLPT_2
～点,～てん,counter for scores,JLPT JLPT_2
展開,てんかい,"develop, expansion (opposite of compression)",JLPT JLPT_2
伝記,でんき,"biography, life story",JLPT JLPT_2
電球,でんきゅう,light bulb,JLPT JLPT_2
点数,てんすう,"marks, points, score",JLPT JLPT_2
伝染,でんせん,contagion,JLPT JLPT_2
電池,でんち,battery,Genki_Ln.15 JLPT_2 JLPT Genki
点々,てんてん,"here and there, little by little",JLPT JLPT_2
転々,てんてん,from one to another,JLPT JLPT_2
電柱,でんちゅう,"telephone pole, telegraph pole, light pole",JLPT JLPT_2
天皇,てんのう,Emperor of Japan,JLPT JLPT_2expression,reading,meaning,tags
現像,げんぞう,developing (film),JLPT_1 JLPT
原則,げんそく,"principle, general rule",JLPT_1 JLPT
見地,けんち,point of view,JLPT_1 JLPT
現地,げんち,"actual place, local",JLPT_1 JLPT
限定,げんてい,"limit, restriction",JLPT_1 JLPT
原点,げんてん,"origin (coordinates, starting point)",JLPT_1 JLPT
原典,げんてん,"original, source",JLPT_1 JLPT
原爆,げんばく,atomic bomb,JLPT_1 JLPT
原文,げんぶん,"the text, original",JLPT_1 JLPT
厳密,げんみつ,"strict, close",JLPT_1 JLPT
賢明,けんめい,"wisdom, intelligence, prudence",JLPT_1 JLPT
倹約,けんやく,"thrift, economy, frugality",JLPT_1 JLPT
原油,げんゆ,crude oil,JLPT_1 JLPT
兼用,けんよう,"multi-use, combined use",JLPT_1 JLPT
権力,けんりょく,"(political) power, authority, influence",JLPT_1 JLPT
言論,げんろん,"discussion, speech",JLPT_1 JLPT
故～,こ～,"deceased, late",JLPT_1 JLPT
語彙,ごい,"vocabulary, glossary",JLPT_1 JLPT
恋する,こいする,"to fall in love with, to love",JLPT_1 JLPT
甲,こう,1st in rank; shell,JLPT_1 JLPT
～光,～こう,light,JLPT_1 JLPT
好意,こうい,"good will, favor, courtesy",JLPT_1 JLPT
行為,こうい,"act, deed, conduct",JLPT_1 JLPT
合意,ごうい,"agreement, consent, mutual understanding",JLPT_1 JLPT
工学,こうがく,engineering,JLPT_1 JLPT
抗議,こうぎ,"protest, objection",JLPT_1 JLPT
合議,ごうぎ,"consultation, conference",JLPT_1 JLPT
皇居,こうきょ,Imperial Palace,JLPT_1 JLPT
好況,こうきょう,"prosperous conditions, healthy economy",JLPT_1 JLPT
鉱業,こうぎょう,mining industry,JLPT_1 JLPT
興業,こうぎょう,starting a business; industry,JLPT_1 JLPT
高原,こうげん,"tableland, plateau",JLPT_1 JLPT
交互,こうご,"mutual, reciprocal, alternate",JLPT_1 JLPT
煌々と,こうこうと,brightly,JLPT_1 JLPT
考古学,こうこがく,archeology,JLPT_1 JLPT
工作,こうさく,"handicraft, maneuvering",JLPT_1 JLPT
耕作,こうさく,"cultivation, farming",JLPT_1 JLPT
鉱山,こうざん,mine,JLPT_1 JLPT
講習,こうしゅう,"short course, training",JLPT_1 JLPT
口述,こうじゅつ,verbal statement,JLPT_1 JLPT
控除,こうじょ,"subsidy, deduction",JLPT_1 JLPT
交渉,こうしょう,negotiation,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese
高尚,こうしょう,"high, noble, refined",JLPT_1 JLPT
向上,こうじょう,"rise, improvement, progress",JLPT_1 JLPT
行進,こうしん,"march, parade",JLPT_1 JLPT
香辛料,こうしんりょう,spices,JLPT_1 JLPT
降水,こうすい,"rainfall, precipitation",JLPT_1 JLPT
洪水,こうずい,flood,JLPT_1 JLPT
合成,ごうせい,"synthetic, mixed",JLPT_1 JLPT
公然,こうぜん,openly,JLPT_1 JLPT
抗争,こうそう,"dispute, resistance",JLPT_1 JLPT
構想,こうそう,"plan, plot, idea, conception",JLPT_1 JLPT
後退,こうたい,"retreat, backspace",JLPT_1 JLPT
光沢,こうたく,"luster, glossy finish (of photographs)",JLPT_1 JLPT
公団,こうだん,public corporation,JLPT_1 JLPT
好調,こうちょう,"satisfactory, in good shape",JLPT_1 JLPT
口頭,こうとう,oral,JLPT_1 JLPT
講読,こうどく,reading,JLPT_1 JLPT
購読,こうどく,subscription,JLPT_1 JLPT
購入,こうにゅう,"purchase, buy",JLPT_1 JLPT
公認,こうにん,"official recognition, authorization",JLPT_1 JLPT
光熱費,こうねつひ,cost of fuel and light,JLPT_1 JLPT
購買,こうばい,"purchase, buy",JLPT_1 JLPT
好評,こうひょう,"popularity, favorable reputation",JLPT_1 JLPT
交付,こうふ,"delivering, furnishing (with copies)",JLPT_1 JLPT
公募,こうぼ,"public appeal, public contribution",JLPT_1 JLPT
巧妙,こうみょう,"ingenious, skillful, clever",JLPT_1 JLPT
公用,こうよう,"government business, public use, public expense",JLPT_1 JLPT
小売,こうり,retail,JLPT_1 JLPT
効率,こうりつ,efficiency,JLPT_1 JLPT
公立,こうりつ,public institution,JLPT_1 JLPT
護衛,ごえい,"guard, convoy, escort",JLPT_1 JLPT
